"09:48:15.560 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.web.shows.GetShowsServlet - in GetShowsServlet doPost
""09:48:15.588 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.ShowsDAO - Calling getShows(with parameters) in ShowsDAO
""09:48:15.588 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - combineSqlForShowSearch() in ShowsDaoUtil
""09:48:15.780 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapShows in ShowsDAOUtil
""09:48:15.780 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:15.831 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:15.831 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:15.841 [http-nio-8080-exec-1] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
